2026-03-29 07:12:46 | INFO | docred | wandb not available or init failed; logging to file only.
2026-03-29 07:12:46 | INFO | docred | Building datasets...
2026-03-29 07:15:00 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:15:00 | INFO | docred | Building datasets...
2026-03-29 07:15:57 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:15:57 | INFO | docred | Building datasets...
2026-03-29 07:16:43 | INFO | docred | wandb not available or init failed; logging to file only.
2026-03-29 07:16:43 | INFO | docred | Building datasets...
2026-03-29 07:16:57 | INFO | docred | wandb not available or init failed; logging to file only.
2026-03-29 07:16:57 | INFO | docred | Building datasets...
2026-03-29 07:17:49 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:17:49 | INFO | docred | Building datasets...
2026-03-29 07:25:34 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:25:38 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:25:38 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:25:38 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:25:38 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:25:46 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:25:46 | INFO | docred | Building datasets...
2026-03-29 07:25:48 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:25:48 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:28:21 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:28:22 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:28:22 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:28:22 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:28:22 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:28:26 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:28:26 | INFO | docred | Building datasets...
2026-03-29 07:28:28 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:28:28 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:29:26 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:29:26 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:29:26 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:29:26 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:29:26 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:29:31 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:29:31 | INFO | docred | Building datasets...
2026-03-29 07:29:34 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:29:34 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:29:38 | INFO | docred | Initialising JointLoss...
2026-03-29 07:32:09 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:32:10 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:32:10 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:32:10 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:32:10 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:32:18 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:32:18 | INFO | docred | Building datasets...
2026-03-29 07:32:20 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:32:20 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:32:23 | INFO | docred | Initialising JointLoss...
2026-03-29 07:36:57 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:36:58 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:36:58 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:36:58 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:36:58 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:37:06 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:37:06 | INFO | docred | Building datasets...
2026-03-29 07:37:08 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:37:08 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:37:09 | INFO | docred | Initialising JointLoss...
2026-03-29 07:37:48 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 07:37:48 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 07:37:48 | INFO | docred.train | Scheduler: total_steps=2880, warmup_steps=172
2026-03-29 07:37:48 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 07:37:48 | INFO | docred | Starting training for 30 epochs...
2026-03-29 07:37:48 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 07:42:52 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:42:53 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:42:53 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:42:53 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:42:53 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:44:00 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:44:00 | INFO | docred | Building datasets...
2026-03-29 07:44:02 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:44:02 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:44:04 | INFO | docred | Initialising JointLoss...
2026-03-29 07:44:38 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 07:44:38 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 07:44:38 | INFO | docred.train | Scheduler: total_steps=720, warmup_steps=43
2026-03-29 07:44:38 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 07:44:38 | INFO | docred | Starting training for 30 epochs...
2026-03-29 07:44:38 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 07:46:14 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:46:14 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:46:14 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:46:14 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:46:14 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:47:49 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:47:49 | INFO | docred | Building datasets...
2026-03-29 07:47:51 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:47:51 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:47:52 | INFO | docred | Initialising JointLoss...
2026-03-29 07:48:28 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 07:48:28 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 07:48:28 | INFO | docred.train | Scheduler: total_steps=1440, warmup_steps=86
2026-03-29 07:48:28 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 07:48:28 | INFO | docred | Starting training for 30 epochs...
2026-03-29 07:48:28 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 07:49:39 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:49:39 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:49:39 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:49:39 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:49:39 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 07:49:49 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 07:49:49 | INFO | docred | Building datasets...
2026-03-29 07:49:52 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 07:49:52 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 07:49:53 | INFO | docred | Initialising JointLoss...
2026-03-29 07:50:29 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 07:50:29 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 07:50:29 | INFO | docred.train | Scheduler: total_steps=1440, warmup_steps=86
2026-03-29 07:50:29 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 07:50:29 | INFO | docred | Starting training for 30 epochs...
2026-03-29 07:50:29 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 07:57:32 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 07:57:32 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 07:57:32 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 07:57:32 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 07:57:32 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 08:05:36 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 08:05:36 | INFO | docred | Building datasets...
2026-03-29 08:05:39 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 08:05:39 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 08:05:40 | INFO | docred | Initialising JointLoss...
2026-03-29 08:06:16 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 08:06:16 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 08:06:16 | INFO | docred.train | Scheduler: total_steps=1440, warmup_steps=86
2026-03-29 08:06:16 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 08:06:16 | INFO | docred | Starting training for 30 epochs...
2026-03-29 08:06:16 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 08:09:04 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 08:09:05 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 08:09:05 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 08:09:05 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 08:09:05 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 08:09:09 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 08:09:09 | INFO | docred | Building datasets...
2026-03-29 08:09:11 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 08:09:11 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 08:09:12 | INFO | docred | Initialising JointLoss...
2026-03-29 08:09:49 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 08:09:49 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 08:09:49 | INFO | docred.train | Scheduler: total_steps=2880, warmup_steps=172
2026-03-29 08:09:49 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 08:09:49 | INFO | docred | Starting training for 30 epochs...
2026-03-29 08:09:49 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 08:16:29 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 08:16:30 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 08:16:30 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 08:16:30 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 08:16:30 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 08:18:37 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 08:18:37 | INFO | docred | Building datasets...
2026-03-29 08:18:39 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 08:18:39 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 08:18:40 | INFO | docred | Initialising JointLoss...
2026-03-29 08:19:17 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 08:19:17 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 08:19:17 | INFO | docred.train | Scheduler: total_steps=2880, warmup_steps=172
2026-03-29 08:19:17 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 08:19:17 | INFO | docred | Starting training for 30 epochs...
2026-03-29 08:19:17 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 08:20:58 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 08:20:59 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 08:20:59 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 08:20:59 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 08:20:59 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 08:23:14 | INFO | docred | Weights & Biases logging enabled.
2026-03-29 08:23:14 | INFO | docred | Building datasets...
2026-03-29 08:23:17 | INFO | docred | Train docs: 3053 | Dev docs: 1000
2026-03-29 08:23:17 | INFO | docred | Initialising DocREDPipeline...
2026-03-29 08:23:18 | INFO | docred | Initialising JointLoss...
2026-03-29 08:23:55 | INFO | docred.train | Evidence miner co-occurrence statistics updated.
2026-03-29 08:23:55 | INFO | docred.train | Optimizer: PLM params=391 (lr=2e-05), other params=167 (lr=0.001)
2026-03-29 08:23:55 | INFO | docred.train | Scheduler: total_steps=5730, warmup_steps=343
2026-03-29 08:23:55 | INFO | docred | Mixed-precision (fp16) training enabled.
2026-03-29 08:23:55 | INFO | docred | Starting training for 30 epochs...
2026-03-29 08:23:55 | INFO | docred | Epoch 1/30: BMM warm-up (CE-only mode)
2026-03-29 08:34:40 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 08:34:41 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 08:34:41 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
2026-03-29 08:34:41 | INFO | docred | Resolved test_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/test.json
2026-03-29 08:34:41 | INFO | docred | Resolved rel_info_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/rel_info.json
2026-03-29 08:34:55 | INFO | docred | Local DocRED file missing for train_path; downloading dataset (wyldream/docred)...
2026-03-29 08:34:56 | INFO | docred | Resolved train_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/train_annotated.json
2026-03-29 08:34:56 | INFO | docred | Resolved dev_path -> /teamspace/studios/this_studio/.cache/kagglehub/datasets/wyldream/docred/versions/2/dev.json
